SampleID,Zip Code,Pb Bottle 1 (ppb) - First Draw,Pb Bottle 2 (ppb) - 45 secs flushing,Pb Bottle 3 (ppb) - 2 mins flushing
1,48504,0.344,0.226,0.145
2,48507,8.133,10.77,2.761
4,48504,1.111,0.11,0.123
5,48507,8.007,7.446,3.384
6,48505,1.951,0.048,0.035
7,48507,7.2,1.4,0.2
8,48507,40.63,9.726,6.132
9,48503,1.1,2.5,0.1
12,48507,10.6,1.038,1.294
13,48505,6.2,4.2,2.3
15,48507,4.358,0.822,0.147
16,48505,24.37,8.796,4.347
17,48505,6.609,5.752,1.433
18,48503,4.062,1.099,1.085
19,48507,2.484,0.72,0.565
20,48507,0.438,1.046,0.511
21,48503,1.29,0.243,0.225
22,48504,0.548,0.622,0.361
23,48504,3.131,0.674,0.683
24,48504,120,239.7,29.71
25,48505,2.911,0.406,0.237
26,48505,16.52,10.26,2.762
27,48505,1.984,1.13,0.712
28,48503,5.367,2.474,1.616
29,48504,5.5,8.4,2.4
30,48506,0.639,0.223,0.194
31,48503,10.32,13.47,18.19
31,48503,6.087,28.87,2.13
33,48503,66.88,2.662,2.082
34,48505,20.41,3.543,2.344
35,48504,109.6,80.47,94.52
36,48503,5.06,3.406,4.088
37,48504,2.774,0.21,0.264
38,48505,4.453,3.679,3.523
39,48505,0.4,0.3,0.7
40,48529,0.974,0.142,0.118
41,48505,3.228,2.534,2.222
42,48505,12.55,4.132,0.12
43,48505,0.501,0.156,15.14
44,48504,2.448,0.373,0.288
45,48505,5.508,5.157,2.621
46,48504,1.293,0.441,0.281
47,48505,4.699,1.395,0.329
48,48504,6.093,2.682,1.458
49,48504,0.8,0.8,0.5
50,48503,1.626,1.332,0.327
51,48507,2.576,2.852,1.48
52,48504,2.362,0.467,0.339
53,48503,1.585,0.494,1.232
54,48506,3.058,1.808,1.169
55,48506,2.423,0.393,0.373
56,48503,30.91,42.58,44.6
57,48503,4.47,3.649,1
58,48505,2.172,1.76,1.44
59,48505,1.8,0.5,0.2
63,48503,0.965,0.166,0.319
65,48505,7.636,5.206,9.239
66,48506,3.158,1.948,2.802
67,48503,105.3,12.84,4.534
68,48506,4.476,0.355,0.334
69,48504,2.828,6.694,20.99
71,48503,2.481,3.86,24.64
72,48507,11.52,0.288,0.215
73,48507,3.784,0.292,0.258
74,48503,1.344,0.729,1.226
75,48504,11.93,9.645,3.514
76,48507,10.96,7.744,4.16
77,48504,3.341,0.555,0.917
78,48503,1.229,1.192,0.218
