,job_title,job_category,salary,experience_level,employment_type,work_setting,company_size
0,Data Architect,Data Architecture and Modeling,186000,Senior,Full-time,In-person,M
1,Data Architect,Data Architecture and Modeling,81800,Senior,Full-time,In-person,M
2,Data Scientist,Data Science and Research,212000,Senior,Full-time,In-person,M
3,Data Scientist,Data Science and Research,93300,Senior,Full-time,In-person,M
4,Data Scientist,Data Science and Research,130000,Senior,Full-time,Remote,M
5,Data Scientist,Data Science and Research,100000,Senior,Full-time,Remote,M
6,Machine Learning Researcher,Machine Learning and AI,224400,Mid-level,Full-time,In-person,M
7,Machine Learning Researcher,Machine Learning and AI,138700,Mid-level,Full-time,In-person,M
8,Data Engineer,Data Engineering,210000,Executive,Full-time,Remote,M
9,Data Engineer,Data Engineering,168000,Executive,Full-time,Remote,M
10,Machine Learning Engineer,Machine Learning and AI,224400,Senior,Full-time,In-person,M
11,Machine Learning Engineer,Machine Learning and AI,138700,Senior,Full-time,In-person,M
12,Data Analyst,Data Analysis,95000,Entry-level,Full-time,In-person,M
13,Data Analyst,Data Analysis,75000,Entry-level,Full-time,In-person,M
14,Data Scientist,Data Science and Research,300000,Senior,Full-time,In-person,M
15,Data Scientist,Data Science and Research,234000,Senior,Full-time,In-person,M
16,Analytics Engineer,Leadership and Management,140000,Mid-level,Full-time,In-person,M
17,Analytics Engineer,Leadership and Management,120000,Mid-level,Full-time,In-person,M
18,Machine Learning Engineer,Machine Learning and AI,204500,Mid-level,Full-time,In-person,M
19,Machine Learning Engineer,Machine Learning and AI,142200,Mid-level,Full-time,In-person,M
20,Data Analyst,Data Analysis,155000,Mid-level,Full-time,In-person,M
21,Data Analyst,Data Analysis,110000,Mid-level,Full-time,In-person,M
22,Machine Learning Engineer,Machine Learning and AI,266500,Senior,Full-time,In-person,M
23,Machine Learning Engineer,Machine Learning and AI,152000,Senior,Full-time,In-person,M
24,Applied Scientist,Data Science and Research,222200,Mid-level,Full-time,In-person,L
25,Applied Scientist,Data Science and Research,136000,Mid-level,Full-time,In-person,L
26,Machine Learning Engineer,Machine Learning and AI,273400,Senior,Full-time,In-person,M
27,Machine Learning Engineer,Machine Learning and AI,182200,Senior,Full-time,In-person,M
28,BI Developer,BI and Visualization,167500,Senior,Full-time,In-person,M
29,BI Developer,BI and Visualization,106500,Senior,Full-time,In-person,M
30,Data Engineer,Data Engineering,185900,Senior,Full-time,In-person,M
31,Data Engineer,Data Engineering,129300,Senior,Full-time,In-person,M
32,Business Intelligence Engineer,BI and Visualization,185000,Mid-level,Full-time,In-person,L
33,Business Intelligence Engineer,BI and Visualization,79600,Mid-level,Full-time,In-person,L
