Rank,Name,NA_Sales,EU_Sales,Global_Sales
0,Wii Sports,41.49,29.02,82.74
1,Super Mario Bros.,29.08,3.58,40.24
2,Mario Kart Wii,15.85,12.88,35.82
3,Wii Sports Resort,15.75,11.01,33
4,Pokemon Red/Pokemon Blue,11.27,8.89,31.37
5,Tetris,23.2,2.26,30.26
6,New Super Mario Bros.,11.38,9.23,30.01
7,Wii Play,14.03,9.2,29.02
8,New Super Mario Bros. Wii,14.59,7.06,28.62
9,Duck Hunt,26.93,0.63,28.31
10,Nintendogs,9.07,11,24.76
11,Mario Kart DS,9.81,7.57,23.42
12,Pokemon Gold/Pokemon Silver,9,6.18,23.1
13,Wii Fit,8.94,8.03,22.72
14,Wii Fit Plus,9.09,8.59,22
15,Kinect Adventures!,14.97,4.94,21.82
16,Grand Theft Auto V,7.01,9.27,21.4
17,Grand Theft Auto: San Andreas,9.43,0.4,20.81
18,Super Mario World,12.78,3.75,20.61
19,Brain Age: Train Your Brain in Minutes a Day,4.75,9.26,20.22
20,Pokemon Diamond/Pokemon Pearl,6.42,4.52,18.36
21,Super Mario Land,10.83,2.71,18.14
22,Super Mario Bros. 3,9.54,3.44,17.28
23,Grand Theft Auto V,9.63,5.31,16.38
24,Grand Theft Auto: Vice City,8.41,5.49,16.15
25,Pokemon Ruby/Pokemon Sapphire,6.06,3.9,15.85
26,Pokemon Black/Pokemon White,5.57,3.28,15.32
27,Brain Age 2: More Training in Minutes a Day,3.44,5.36,15.3
28,Gran Turismo 3: A-Spec,6.85,5.09,14.98
29,Call of Duty: Modern Warfare 3,9.03,4.28,14.76
30,Pokémon Yellow: Special Pikachu Edition,5.89,5.04,14.64
31,Call of Duty: Black Ops,9.67,3.73,14.64
32,Pokemon X/Pokemon Y,5.17,4.05,14.35
33,Call of Duty: Black Ops 3,5.77,5.81,14.24
34,Call of Duty: Black Ops II,4.99,5.88,14.03
35,Call of Duty: Black Ops II,8.25,4.3,13.73
36,Call of Duty: Modern Warfare 2,8.52,3.63,13.51
37,Call of Duty: Modern Warfare 3,5.54,5.82,13.46
38,Grand Theft Auto III,6.99,4.51,13.1
39,Super Smash Bros. Brawl,6.75,2.61,13.04
40,Call of Duty: Black Ops,5.98,4.44,12.73
41,Animal Crossing: Wild World,2.55,3.52,12.27
42,Mario Kart 7,4.74,3.91,12.21
43,Halo 3,7.97,2.83,12.14
44,Grand Theft Auto V,3.8,5.81,11.98
45,Pokemon HeartGold/Pokemon SoulSilver,4.4,2.77,11.9
46,Super Mario 64,6.91,2.85,11.89
47,Gran Turismo 4,3.01,0.01,11.66
48,Super Mario Galaxy,6.16,3.4,11.52
49,Pokemon Omega Ruby/Pokemon Alpha Sapphire,4.23,3.37,11.33
50,Super Mario Land 2: 6 Golden Coins,6.16,2.04,11.18
51,Grand Theft Auto IV,6.76,3.1,11.02
52,Gran Turismo,4.02,3.87,10.95
53,Super Mario 3D Land,4.89,2.99,10.79
54,Gran Turismo 5,2.96,4.88,10.77
55,Call of Duty: Modern Warfare 2,4.99,3.69,10.69
56,Grand Theft Auto IV,4.76,3.76,10.57
57,Super Mario All-Stars,5.99,2.15,10.55
58,Pokemon FireRed/Pokemon LeafGreen,4.34,2.65,10.49
59,Super Mario 64,5.08,3.11,10.42
60,Just Dance 3,6.05,3.15,10.26
61,Call of Duty: Ghosts,6.72,2.63,10.21
62,Halo: Reach,7.03,1.98,9.88
63,Mario Kart 64,5.55,1.94,9.87
64,New Super Mario Bros. 2,3.66,3.07,9.82
65,Halo 4,6.63,2.36,9.76
66,Final Fantasy VII,3.01,2.47,9.72
67,Call of Duty: Ghosts,4.09,3.73,9.59
68,Just Dance 2,5.84,2.89,9.52
69,Gran Turismo 2,3.88,3.42,9.49
70,Call of Duty 4: Modern Warfare,5.91,2.38,9.32
71,Donkey Kong Country,4.36,1.71,9.3
72,Minecraft,5.58,2.83,9.2
73,Animal Crossing: New Leaf,2.01,2.32,9.09
74,Mario Party DS,4.46,1.88,9.02
75,The Elder Scrolls V: Skyrim,5.03,2.86,8.84
76,Super Mario Kart,3.54,1.24,8.76
77,FIFA 16,1.11,6.06,8.49
78,Wii Party,1.79,3.53,8.49
79,Halo 2,6.82,1.53,8.49
80,Mario Party 8,3.81,2.3,8.42
81,Pokemon Black 2/Pokemon White 2,2.91,1.86,8.33
82,FIFA Soccer 13,1.06,5.05,8.24
83,The Sims 3,0.98,6.42,8.11
84,GoldenEye 007,5.8,2.01,8.09
85,Mario & Sonic at the Olympic Games,2.58,3.9,8.06
86,Final Fantasy X,2.91,2.07,8.05
87,Final Fantasy VIII,2.28,1.72,7.86
88,Pokémon Platinum Version,2.82,1.78,7.84
89,Pac-Man,7.28,0.45,7.81
90,Grand Theft Auto: Liberty City Stories,2.9,2.83,7.72
91,Super Mario Galaxy 2,3.66,2.42,7.69
92,Star Wars Battlefront (2015),2.93,3.29,7.67
93,Call of Duty: Advanced Warfare,2.8,3.3,7.6
94,The Legend of Zelda: Ocarina of Time,4.1,1.89,7.6
95,Crash Bandicoot 2: Cortex Strikes Back,3.78,2.17,7.58
96,Super Mario Bros. 2,5.39,1.18,7.46
97,Super Smash Bros. for Wii U and 3DS,3.24,1.35,7.45
98,Call of Duty: World at War,4.79,1.9,7.37
99,Battlefield 3,4.46,2.13,7.34
100,The Legend of Zelda: Twilight Princess,3.83,2.19,7.31
101,Call of Duty: Black Ops 3,4.52,2.09,7.3
102,Just Dance,3.51,3.03,7.27
103,Battlefield 3,2.85,2.93,7.23
104,Need for Speed Underground,3.27,2.83,7.2
105,Tekken 3,3.27,2.22,7.16
106,Crash Bandicoot 3: Warped,3.68,1.75,7.13
107,Super Smash Bros. Melee,4.41,1.04,7.07
108,Mario Kart 8,3.13,2.07,6.96
109,Fallout 4,2.47,3.15,6.96
110,Mario Kart: Double Dash!!,4.12,1.77,6.95
