Date,Home Team,Away Team,Home Score,Away Score,Outcome,Spread
1/14/68,GB,LVR,33,14,-19,-13.5
1/12/69,IND,NYJ,7,16,9,-18
1/11/70,KC,MIN,23,7,-16,-12
1/17/71,IND,DAL,16,13,-3,-2.5
1/16/72,DAL,MIA,24,3,-21,-6
1/14/73,MIA,WAS,14,7,-7,-1
1/13/74,MIA,MIN,24,7,-17,-6.5
1/12/75,MIN,PIT,6,16,10,-3
1/18/76,DAL,PIT,17,21,4,-7
1/9/77,MIN,LVR,14,32,18,-4
1/15/78,DAL,DEN,27,10,-17,-6
1/21/79,DAL,PIT,31,35,4,3.5
9/1/79,TB,DET,31,16,-15,-3
9/2/79,BUF,MIA,7,9,2,-5
9/2/79,CHI,GB,6,3,-3,-3
9/2/79,DEN,CIN,10,0,-10,-3
9/2/79,KC,IND,14,0,-14,-1
9/2/79,LAR,LVR,17,24,7,-4
9/2/79,MIN,SF,28,22,-6,-7
9/2/79,NO,ATL,34,40,6,5
9/2/79,NYJ,CLE,22,25,3,-2
9/2/79,PHI,NYG,23,17,-6,-7
9/2/79,SEA,LAC,16,33,17,-2
9/2/79,ARI,DAL,21,22,1,-4
9/2/79,WAS,TEN,27,29,2,-4
9/3/79,NE,PIT,13,16,3,-2
9/6/79,DEN,LAR,9,13,4,2
9/9/79,IND,TB,26,29,3,3
9/9/79,BUF,CIN,51,24,-27,3
9/9/79,CHI,MIN,26,7,-19,-6
9/9/79,DET,WAS,24,27,3,7
9/9/79,GB,NO,28,19,-9,-3
9/9/79,KC,CLE,24,27,3,-3
9/9/79,MIA,SEA,19,10,-9,-7
9/9/79,NE,NYJ,56,3,-53,-8
9/9/79,NYG,ARI,14,27,13,-3
9/9/79,PIT,TEN,38,7,-31,7
9/9/79,LAC,LVR,30,10,-20,-6
9/9/79,SF,DAL,13,21,8,14
9/10/79,PHI,ATL,10,14,4,19
9/16/79,ATL,DEN,17,20,3,-6
9/16/79,CIN,NE,14,20,6,-6
9/16/79,CLE,IND,13,10,-3,5
9/16/79,DAL,CHI,24,20,-4,16
9/16/79,GB,TB,10,21,11,16
9/16/79,TEN,KC,20,6,-14,12.5
9/16/79,LAR,SF,27,24,-3,7
9/16/79,MIN,MIA,12,27,15,-14
9/16/79,NO,PHI,14,26,12,11
9/16/79,NYJ,DET,31,10,-21,-4
9/16/79,LAC,BUF,27,19,-8,8
9/16/79,SEA,LVR,27,10,-17,14
9/16/79,ARI,PIT,21,24,3,-15
9/17/79,WAS,NYG,27,0,-27,-15
9/23/79,BUF,NYJ,46,31,-15,-14
9/23/79,CIN,TEN,27,30,3,8
9/23/79,DEN,SEA,37,34,-3,1
9/23/79,DET,ATL,24,23,-1,-2
9/23/79,KC,LVR,35,7,-28,14
9/23/79,MIA,CHI,31,16,-15,4
9/23/79,MIN,GB,27,21,-6,-9
9/23/79,NE,LAC,27,21,-6,8
9/23/79,NYG,PHI,13,17,4,7
9/23/79,PIT,IND,17,13,-4,-4
9/23/79,SF,NO,21,30,9,8
9/23/79,ARI,WAS,7,17,10,-10
9/23/79,TB,LAR,21,6,-15,12
9/24/79,CLE,DAL,26,7,-19,12
9/30/79,ATL,WAS,7,16,9,-12
9/30/79,IND,BUF,13,31,18,0
9/30/79,CHI,TB,13,17,4,12
9/30/79,DAL,CIN,38,13,-25,-7
9/30/79,DET,MIN,10,13,3,-9
9/30/79,TEN,CLE,31,10,-21,7
9/30/79,LAR,ARI,21,0,-21,-4
9/30/79,NO,NYG,24,14,-10,5
9/30/79,NYJ,MIA,33,27,-6,5
9/30/79,LVR,DEN,27,3,-24,8
9/30/79,PHI,PIT,17,14,-3,-12
9/30/79,LAC,SF,31,9,-22,-7
9/30/79,SEA,KC,6,24,18,9
10/1/79,GB,NE,27,14,-13,-1
10/7/79,ATL,GB,25,7,-18,12
10/7/79,IND,NYJ,10,8,-2,-2
10/7/79,BUF,CHI,0,7,7,2
10/7/79,CIN,KC,7,10,3,-13
10/7/79,CLE,PIT,35,51,16,7
10/7/79,DEN,LAC,7,0,-7,15
10/7/79,TEN,ARI,17,24,7,-8
10/7/79,MIN,DAL,20,36,16,12
10/7/79,NE,DET,24,17,-7,-12
10/7/79,NO,LAR,17,35,18,-4
10/7/79,NYG,TB,17,14,-3,8
10/7/79,PHI,WAS,28,17,-11,-11
10/7/79,SF,SEA,24,35,11,-10
10/8/79,LVR,MIA,13,3,-10,-9
10/14/79,IND,TEN,16,28,12,-6
10/14/79,CHI,NE,7,27,20,9
10/14/79,CIN,PIT,34,10,-24,-12
10/14/79,CLE,WAS,9,13,4,-11
10/14/79,DAL,LAR,30,6,-24,-4
10/14/79,GB,DET,24,16,-8,-13
10/14/79,KC,DEN,10,24,14,12
10/14/79,MIA,BUF,17,7,-10,13
10/14/79,NYG,SF,32,16,-16,12
10/14/79,LVR,ATL,50,19,-31,9
10/14/79,LAC,SEA,20,10,-10,-12
10/14/79,ARI,PHI,20,24,4,10
10/14/79,TB,NO,14,42,28,-14
10/15/79,NYJ,MIN,14,7,-7,-15
10/21/79,BUF,IND,13,14,1,-6
10/21/79,CLE,CIN,28,27,-1,-3
10/21/79,DAL,ARI,22,13,-9,-11
10/21/79,KC,NYG,17,21,4,-5
10/21/79,LAR,LAC,16,40,24,14
10/21/79,MIN,CHI,30,27,-3,-1
10/21/79,NE,MIA,28,13,-15,9
10/21/79,NO,DET,17,7,-10,2
10/21/79,NYJ,LVR,28,19,-9,-10
10/21/79,SF,ATL,20,15,-5,13
10/21/79,SEA,TEN,34,14,-20,2
10/21/79,TB,GB,21,3,-18,2
10/21/79,WAS,PHI,17,7,-10,-3
10/22/79,PIT,DEN,42,7,-35,-5
10/25/79,LVR,LAC,45,22,-23,-17
10/28/79,IND,NE,31,26,-5,1
10/28/79,CIN,PHI,37,13,-24,4
10/28/79,DEN,KC,20,3,-17,14
10/28/79,DET,BUF,17,20,3,-10
10/28/79,TEN,NYJ,27,24,-3,14
10/28/79,LAR,NYG,14,20,6,6
10/28/79,MIA,GB,27,7,-20,11
10/28/79,MIN,TB,10,12,2,1
10/28/79,PIT,DAL,14,3,-11,9
10/28/79,SF,CHI,27,28,1,0
10/28/79,ARI,CLE,20,38,18,-12
10/28/79,WAS,NO,10,14,4,5
10/29/79,ATL,SEA,28,31,3,-13
11/4/79,ATL,TB,17,14,-3,11
11/4/79,IND,CIN,38,28,-10,13
11/4/79,BUF,NE,6,26,20,-14
11/4/79,CHI,DET,35,7,-28,-3
11/4/79,DEN,NO,10,3,-7,2
11/4/79,GB,NYJ,22,27,5,-4
11/4/79,KC,LAC,14,20,6,15
11/4/79,NYG,DAL,14,16,2,-15
11/4/79,LVR,SF,23,10,-13,6
11/4/79,PHI,CLE,19,24,5,-1
11/4/79,PIT,WAS,38,7,-31,-5
11/4/79,SEA,LAR,0,24,24,-6
11/4/79,ARI,MIN,37,7,-30,-1
11/5/79,MIA,TEN,6,9,3,-8
11/11/79,CHI,LAR,27,23,-4,0
11/11/79,CIN,LAC,24,26,2,-6
11/11/79,CLE,SEA,24,29,5,-4
11/11/79,DEN,NE,45,10,-35,5
11/11/79,DET,TB,14,16,2,-7
11/11/79,GB,MIN,19,7,-12,2
11/11/79,TEN,LVR,31,17,-14,2
11/11/79,KC,PIT,3,30,27,-14
11/11/79,MIA,IND,19,0,-19,-6
11/11/79,NO,SF,31,20,-11,-1
11/11/79,NYG,ATL,24,3,-21,9
11/11/79,NYJ,BUF,12,14,2,6
11/11/79,WAS,ARI,30,28,-2,-10
11/12/79,DAL,PHI,21,31,10,10
11/18/79,BUF,GB,19,12,-7,4
11/18/79,CHI,NYJ,23,13,-10,6
11/18/79,CLE,MIA,30,24,-6,-8
11/18/79,TEN,CIN,42,21,-21,14
11/18/79,MIN,DET,14,7,-7,-15
11/18/79,NE,IND,50,21,-29,8
11/18/79,LVR,KC,21,24,3,-9
11/18/79,PHI,ARI,16,13,-3,8
11/18/79,LAC,PIT,35,7,-28,-13
11/18/79,SF,DEN,28,38,10,-9
11/18/79,SEA,NO,38,24,-14,8
11/18/79,TB,NYG,31,3,-28,13
11/18/79,WAS,DAL,34,20,-14,9
11/19/79,LAR,ATL,20,14,-6,-7
11/22/79,DAL,TEN,24,30,6,0
11/22/79,DET,CHI,20,0,-20,-11
11/25/79,ATL,NO,6,37,31,15
11/25/79,IND,MIA,24,28,4,-14
11/25/79,CIN,ARI,34,28,-6,12
11/25/79,DEN,LVR,10,14,4,-13
11/25/79,GB,PHI,10,21,11,7
11/25/79,NE,BUF,13,16,3,-4
11/25/79,NYG,WAS,14,6,-8,6
11/25/79,PIT,CLE,33,30,-3,-7
11/25/79,LAC,KC,28,7,-21,-10
11/25/79,SF,LAR,20,26,6,13
11/25/79,TB,MIN,22,23,1,3
11/26/79,SEA,NYJ,30,7,-23,1
11/29/79,MIA,NE,39,24,-15,4
12/2/79,BUF,DEN,16,19,3,-2
12/2/79,CLE,TEN,14,7,-7,-9
12/2/79,DAL,NYG,28,7,-21,7
12/2/79,KC,SEA,37,21,-16,-13
12/2/79,LAR,MIN,27,21,-6,-6
12/2/79,NYJ,IND,30,17,-13,-15
12/2/79,PHI,DET,44,7,-37,10
12/2/79,PIT,CIN,37,17,-20,11
12/2/79,LAC,ATL,26,28,2,2
12/2/79,ARI,SF,13,10,-3,-8
12/2/79,TB,CHI,0,14,14,-12
12/2/79,WAS,GB,38,21,-17,4
12/3/79,NO,LVR,35,42,7,14
12/8/79,PHI,DAL,17,24,7,-12
12/8/79,SEA,DEN,28,23,-5,-9
12/9/79,ATL,LAR,13,34,21,-1
12/9/79,IND,KC,7,10,3,-11
12/9/79,DET,MIA,10,28,18,11
12/9/79,GB,CHI,14,15,1,-10
12/9/79,MIN,BUF,10,3,-7,-5
12/9/79,NO,LAC,0,35,35,15
12/9/79,NYJ,NE,27,26,-1,4
12/9/79,LVR,CLE,19,14,-5,-15
12/9/79,SF,TB,23,7,-16,11
12/9/79,ARI,NYG,29,20,-9,9
12/9/79,WAS,CIN,28,14,-14,-2
12/10/79,TEN,PIT,20,17,-3,12
12/15/79,DET,GB,13,18,5,10
12/15/79,MIA,NYJ,24,27,3,9
12/16/79,ATL,SF,31,21,-10,10
12/16/79,CHI,ARI,42,6,-36,-13
12/16/79,CIN,CLE,16,12,-4,6
12/16/79,DAL,WAS,35,34,-1,8
12/16/79,TEN,PHI,20,26,6,5
12/16/79,LAR,NO,14,29,15,-1
12/16/79,NE,MIN,27,23,-4,-7
12/16/79,NYG,IND,7,31,24,-11
12/16/79,LVR,SEA,24,29,5,13
12/16/79,PIT,BUF,28,0,-28,4
12/16/79,TB,KC,3,0,-3,4
12/17/79,LAC,DEN,17,7,-10,-7
12/23/79,TEN,DEN,13,7,-6,7
12/23/79,PHI,CHI,27,17,-10,-13
12/29/79,LAC,TEN,14,17,3,7
12/29/79,TB,PHI,24,17,-7,-10
12/30/79,DAL,LAR,19,21,2,-11
12/30/79,PIT,MIA,34,14,-20,-14
1/6/80,PIT,TEN,27,13,-14,-10
1/6/80,TB,LAR,0,9,9,-4
1/20/80,LAR,PIT,19,31,12,2
9/7/80,BUF,MIA,17,7,-10,-15
9/7/80,CIN,TB,12,17,5,15
9/7/80,GB,CHI,12,6,-6,-9
9/7/80,KC,LVR,14,27,13,11
9/7/80,LAR,DET,20,41,21,4
9/7/80,MIN,ATL,24,23,-1,-13
9/7/80,NE,CLE,34,17,-17,-14
9/7/80,NO,SF,23,26,3,-8
9/7/80,NYJ,IND,14,17,3,-6
9/7/80,PHI,DEN,27,6,-21,-6
9/7/80,PIT,TEN,31,17,-14,-1
9/7/80,SEA,LAC,13,34,21,13
9/7/80,ARI,NYG,35,41,6,13
9/8/80,WAS,DAL,3,17,14,-2
9/11/80,TB,LAR,10,9,-1,9
9/14/80,IND,PIT,17,20,3,1
9/14/80,BUF,NYJ,20,10,-10,-6
9/14/80,CHI,NO,22,3,-19,6
9/14/80,DEN,DAL,41,20,-21,5
9/14/80,GB,DET,7,29,22,-5
9/14/80,KC,SEA,16,17,1,13
9/14/80,MIA,CIN,17,16,-1,0
9/14/80,MIN,PHI,7,42,35,1
9/14/80,NE,ATL,21,37,16,13
9/14/80,NYG,WAS,21,23,2,-6
9/14/80,LAC,LVR,30,24,-6,8
9/14/80,SF,ARI,24,21,-3,-3
9/15/80,CLE,TEN,7,16,9,15
9/21/80,ATL,MIA,17,20,3,-5
9/21/80,CHI,MIN,14,34,20,15
9/21/80,CIN,PIT,30,28,-2,2
9/21/80,CLE,KC,20,13,-7,-8
9/21/80,DAL,TB,28,17,-11,2
9/21/80,DEN,LAC,13,30,17,5
9/21/80,DET,ARI,20,7,-13,-4
9/21/80,TEN,IND,21,16,-5,-10
9/21/80,LAR,GB,51,21,-30,-10
9/21/80,NO,BUF,26,35,9,-14
9/21/80,NYJ,SF,27,37,10,-7
9/21/80,LVR,WAS,24,21,-3,15
9/21/80,SEA,NE,31,37,6,1
9/22/80,PHI,NYG,35,3,-32,7
9/28/80,IND,NYJ,35,21,-14,11
9/28/80,BUF,LVR,24,7,-17,-14
9/28/80,CIN,TEN,10,13,3,3
9/28/80,DET,MIN,27,7,-20,3
9/28/80,GB,DAL,7,28,21,-6
9/28/80,KC,LAC,7,24,17,6
9/28/80,MIA,NO,21,16,-5,-7
9/28/80,NYG,LAR,7,28,21,1
9/28/80,PIT,CHI,38,3,-35,-1
