Player,Team,Position,FT,3PT %,FT %
Klay Thompson,Golden State Warriors,SG,0.93,38.7,92.7
Stephen Curry,Golden State Warriors,PG,0.92,40.8,92.3
Bogdan Bogdanovic,Atlanta Hawks,SG,0.92,37.4,92.1
Damian Lillard,Milwaukee Bucks,PG,0.92,35.4,92
Anfernee Simons,Portland Trail Blazers,SG,0.92,38.5,91.6
Paul George,Los Angeles Clippers,SF,0.91,41.3,90.7
Kyrie Irving,Dallas Mavericks,PG,0.91,41.1,90.5
Derrick White,Boston Celtics,PG,0.90,39.6,90.1
Lauri Markkanen,Utah Jazz,PF,0.90,39.9,89.9
Devin Booker,Phoenix Suns,SG,0.89,36.4,88.6
Kawhi Leonard,Los Angeles Clippers,SF,0.89,41.7,88.5
Jordan Clarkson,Utah Jazz,PG,0.88,29.4,88.1
Tobias Harris,Philadelphia 76ers,SF,0.88,35.3,87.8
James Harden,Los Angeles Clippers,SG,0.88,38.1,87.8
Grayson Allen,Phoenix Suns,SG,0.88,46.1,87.8
Jordan Poole,Washington Wizards,SG,0.88,32.6,87.7
Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,0.87,35.3,87.4
Karl-Anthony Towns,Minnesota Timberwolves,C,0.87,41.6,87.3
Desmond Bane,Memphis Grizzlies,SG,0.87,38.1,87
Terry Rozier,Miami Heat,PG,0.87,36.3,86.9
Cade Cunningham,Detroit Pistons,PG,0.87,35.5,86.9
Alec Burks,New York Knicks,SG,0.87,37.6,86.8
Tyrese Maxey,Philadelphia 76ers,PG,0.87,37.3,86.8
Herbert Jones,New Orleans Pelicans,PF,0.87,41.9,86.7
Donovan Mitchell,Cleveland Cavaliers,SG,0.87,36.8,86.5
Fred VanVleet,Houston Rockets,PG,0.86,38.7,86
Collin Sexton,Utah Jazz,PG,0.86,39.4,85.9
Kristaps Porzingis,Boston Celtics,PF,0.86,37.5,85.8
Cam Thomas,Brooklyn Nets,SG,0.86,36.4,85.6
Kevin Durant,Phoenix Suns,SF,0.86,41.3,85.6
Trae Young,Atlanta Hawks,PG,0.86,37.3,85.5
Jamal Murray,Denver Nuggets,SG,0.85,42.5,85.3
Immanuel Quickley,Toronto Raptors,SG,0.85,39.5,85.3
Jalen Brunson,New York Knicks,PG,0.85,40.1,84.7
De'Andre Hunter,Atlanta Hawks,PF,0.85,38.5,84.7
Coby White,Chicago Bulls,SG,0.84,37.6,83.8
Dennis Schroder,Brooklyn Nets,PG,0.84,37.6,83.6
Darius Garland,Cleveland Cavaliers,PG,0.83,37.1,83.4
Jayson Tatum,Boston Celtics,SF,0.83,37.6,83.3
Norman Powell,Los Angeles Clippers,SG,0.83,43.5,83.1
Brandon Miller,Charlotte Hornets,SF,0.83,37.3,82.7
Luguentz Dort,Oklahoma City Thunder,SG,0.83,39.4,82.6
D'Angelo Russell,Los Angeles Lakers,PG,0.83,41.2,82.5
Harrison Barnes,Sacramento Kings,SF,0.80,38.7,80.1
LeBron James,Los Angeles Lakers,SF,0.75,40.9,75.1
Kelly Oubre Jr.,Philadelphia 76ers,SF,0.75,36.9,75
Luka Doncic,Dallas Mavericks,SF,0.79,38.2,78.6
De'Aaron Fox,Sacramento Kings,PG,0.74,36.9,73.8
RJ Barrett,Toronto Raptors,SF,0.72,36,71.5
Pascal Siakam,Indiana Pacers,PF,0.73,34.6,73.2
