Length,Shell weight,Rings
0.33,0.055,7
0.425,0.12,8
0.355,0.115,7
0.38,0.085,10
0.24,0.02,5
0.205,0.012,5
0.21,0.015,4
0.39,0.075,7
0.325,0.045,6
0.52,0.19,8
0.245,0.025,4
0.31,0.045,6
0.36,0.075,7
0.435,0.105,9
0.385,0.085,7
0.36,0.07,6
0.27,0.03,5
0.375,0.07,6
0.385,0.08,8
0.35,0.068,7
0.265,0.028,7
0.28,0.042,9
0.175,0.0125,5
0.17,0.01,4
0.235,0.015,5
0.36,0.075,7
0.315,0.035,5
0.315,0.05,8
0.225,0.015,4
0.355,0.15,8
0.4,0.12,9
0.435,0.12,8
0.37,0.08,7
0.405,0.11,7
0.425,0.1,10
0.365,0.07,7
0.275,0.035,7
0.44,0.125,12
0.295,0.04,9
0.075,0.0015,1
0.13,0.004,3
0.11,0.003,3
0.16,0.005,5
0.27,0.035,5
0.23,0.02,5
0.3,0.04,8
0.33,0.06,8
0.35,0.06,10
0.32,0.05,13
0.36,0.07,9
0.305,0.045,7
0.345,0.07,7
0.33,0.06,7
0.245,0.026,4
0.36,0.075,7
0.295,0.04,6
0.275,0.035,6
0.28,0.03,4
0.2,0.011,4
0.165,0.005,3
0.45,0.14,8
0.33,0.06,6
0.265,0.03,5
0.19,0.015,4
0.265,0.035,5
0.355,0.08,7
0.32,0.065,7
0.36,0.09,8
0.3,0.035,5
0.235,0.02,5
0.34,0.055,6
0.375,0.09,8
0.465,0.14,9
0.415,0.105,10
0.365,0.08,9
0.345,0.07,6
0.39,0.115,11
0.44,0.11,7
0.49,0.155,11
0.29,0.035,8
0.26,0.03,6
0.44,0.12,13
0.36,0.09,7
0.385,0.09,14
0.36,0.085,10
0.335,0.07,8
0.395,0.085,10
0.36,0.08,9
0.415,0.0995,10
0.24,0.025,6
0.22,0.02,5
0.255,0.025,6
0.175,0.008,5
0.43,0.1045,9
0.56,0.275,16
0.68,0.34,10
0.365,0.07,9
0.53,0.205,20
0.47,0.155,12
0.47,0.145,10
0.465,0.155,11
0.52,0.179,11
0.555,0.255,11
0.65,0.33,17
0.615,0.345,13
0.56,0.25,12
0.48,0.155,13
0.485,0.12,9
0.5,0.16,10
0.525,0.255,14
0.52,0.22,13
0.515,0.17,13
0.485,0.168,12
0.435,0.096,12
0.45,0.1275,16
0.45,0.1175,14
0.61,0.345,10
0.56,0.26,10
0.58,0.255,11
0.55,0.245,14
0.46,0.115,13
0.495,0.2,11
0.52,0.195,10
0.51,0.235,13
0.525,0.205,18
0.575,0.3,13
0.605,0.32,13
0.605,0.36,12
0.535,0.25,17
0.47,0.166,11
0.515,0.2235,12
0.425,0.154,13
0.485,0.136,10
0.495,0.169,18
0.45,0.1655,15
0.485,0.195,18
0.465,0.14,15
0.53,0.265,21
0.475,0.1335,9
0.47,0.165,9
0.44,0.16,14
0.62,0.39,13
0.445,0.105,11
0.46,0.155,11
0.335,0.06,6
0.47,0.145,11
0.58,0.41,18
0.65,0.53,18
0.535,0.295,11
0.45,0.16,19
0.37,0.07,7
0.255,0.025,5
0.165,0.005,4
0.315,0.04,7
0.155,0.005,4
0.295,0.032,7
0.325,0.063,7
0.28,0.0335,7
0.275,0.03,7
0.29,0.035,8
0.25,0.0245,6
0.18,0.0085,4
0.15,0.005,2
0.16,0.005,3
0.485,0.17,8
0.385,0.085,6
0.215,0.015,5
0.37,0.065,7
0.28,0.03,6
0.235,0.018,6
0.255,0.023,5
0.315,0.0535,7
0.325,0.049,7
0.335,0.0575,6
0.35,0.062,6
0.35,0.054,6
0.36,0.0745,7
0.365,0.0735,7
0.37,0.0615,6
0.38,0.0605,7
0.385,0.086,6
0.385,0.09,7
0.395,0.082,7
0.395,0.077,6
0.4,0.094,6
0.41,0.106,6
0.415,0.109,7
0.425,0.0945,6
0.44,0.1465,9
0.445,0.1105,7
0.445,0.089,7
0.45,0.1405,8
0.475,0.172,9
0.485,0.1525,9
0.205,0.0135,6
0.24,0.021,5
0.24,0.017,3
0.255,0.027,6
0.255,0.02,4
0.265,0.0245,6
0.28,0.0345,4
0.295,0.0385,5
0.3,0.043,4
0.3,0.037,6
0.305,0.037,5
0.315,0.0425,6
0.315,0.04,8
0.32,0.0425,5
0.325,0.05,6
0.33,0.0445,6
0.335,0.055,7
0.335,0.0445,7
0.34,0.045,5
0.34,0.055,7
0.345,0.065,7
0.37,0.067,6
0.37,0.0795,7
0.375,0.055,6
0.385,0.07,6
0.41,0.09,7
0.41,0.1,7
0.41,0.091,6
0.415,0.09,6
0.42,0.1,5
0.42,0.09,6
0.425,0.1,6
0.425,0.105,6
0.43,0.105,7
0.43,0.095,7
0.435,0.1125,8
0.435,0.1145,6
0.44,0.134,6
0.44,0.105,7
0.445,0.1195,7
0.45,0.137,7
0.45,0.1335,8
0.45,0.1135,7
0.45,0.119,7
0.455,0.1465,7
0.455,0.1295,6
0.46,0.115,7
0.46,0.1265,7
0.465,0.113,7
0.465,0.143,7
0.465,0.12,7
0.5,0.135,8
0.505,0.156,8
0.505,0.185,8
0.51,0.175,7
0.51,0.18,7
0.185,0.0095,4
0.195,0.011,3
0.195,0.0095,4
0.2,0.007,4
0.225,0.015,4
0.245,0.0215,4
0.25,0.0225,5
0.265,0.025,7
0.275,0.028,6
0.28,0.034,5
0.285,0.03,5
0.3,0.039,6
0.315,0.039,6
0.32,0.0405,6
0.34,0.055,5
0.37,0.0635,6
0.375,0.067,6
0.375,0.065,6
0.385,0.065,7
0.4,0.087,6
0.405,0.093,7
0.41,0.0875,7
0.41,0.106,6
0.42,0.1035,7
0.42,0.105,7
0.42,0.088,6
0.425,0.1045,7
0.435,0.096,6
0.435,0.106,7
0.44,0.12,7
0.445,0.117,7
0.445,0.13,7
0.445,0.109,8
0.45,0.1315,8
0.45,0.12,6
0.45,0.0975,7
0.45,0.098,6
0.45,0.102,6
0.46,0.1175,7
0.47,0.142,6
0.475,0.13,6
0.475,0.115,7
0.48,0.1665,8
0.5,0.1585,7
0.5,0.17,9
0.5,0.134,8
0.51,0.182,8
0.51,0.1525,9
0.51,0.166,8
0.515,0.15,8
0.52,0.157,8
0.52,0.167,8
0.525,0.17,8
0.525,0.1835,9
0.525,0.1405,8
0.53,0.19,8
0.535,0.169,9
0.54,0.1895,10
0.57,0.224,8
0.575,0.245,10
0.665,0.3595,9
0.185,0.15,6
0.245,0.0215,4
0.25,0.0225,5
0.25,0.025,5
0.275,0.0355,6
0.305,0.038,5
0.31,0.04,5
0.315,0.0445,5
0.315,0.0385,5
0.325,0.09,6
0.33,0.052,7
0.33,0.0435,5
0.335,0.048,7
0.34,0.055,6
0.345,0.055,6
0.345,0.05,5
0.35,0.065,6
0.35,0.0525,8
0.36,0.064,4
0.365,0.058,6
0.365,0.06,7
0.365,0.06,7
0.37,0.075,7
0.37,0.062,6
0.375,0.061,5
0.375,0.0695,7
0.375,0.0755,6
0.375,0.0775,6
0.375,0.065,8
0.375,0.07,7
0.38,0.0755,6
0.38,0.07,8
0.385,0.0745,9
0.385,0.067,8
0.385,0.0735,7
0.385,0.0655,5
0.39,0.089,7
0.395,0.0945,8
0.395,0.085,8
0.395,0.082,5
0.4,0.0765,5
0.405,0.075,6
0.41,0.17,7
0.42,0.082,6
0.425,0.1,7
0.425,0.106,7
0.425,0.08,7
0.43,0.115,8
0.43,0.1045,8
0.435,0.12,7
0.44,0.12,9
0.45,0.12,9
0.455,0.126,8
0.455,0.11,8
0.46,0.11,7
0.46,0.114,9
0.465,0.113,11
0.47,0.135,8
0.47,0.1505,8
0.47,0.115,8
0.475,0.14,8
0.475,0.1505,8
0.475,0.15,8
0.48,0.165,9
0.48,0.132,8
0.48,0.135,8
0.495,0.1495,8
0.495,0.16,7
0.5,0.1565,9
0.5,0.185,9
0.5,0.196,9
0.5,0.157,7
0.5,0.195,9
0.505,0.18,8
0.505,0.18,7
0.505,0.171,8
0.515,0.16,7
0.515,0.205,13
0.515,0.175,9
0.52,0.18,10
0.52,0.1905,9
0.525,0.164,9
0.53,0.167,9
0.53,0.192,10
0.53,0.189,9
0.53,0.21,9
0.535,0.154,9
0.535,0.225,8
0.54,0.229,9
0.545,0.227,8
0.545,0.2545,10
0.545,0.185,8
0.55,0.223,11
0.55,0.2325,10
0.55,0.215,9
0.555,0.28,10
0.555,0.23,9
